"Motorbrandstof";"Perioden";"Gemiddelde pompprijs (euro/liter)";"Pompprijs snelweg, bemand station (euro/liter)";"Pompprijs niet snelweg, bemand station (euro/liter)";"Pompprijs niet snelweg, onbemand station (euro/liter)"
"Benzine Euro95";"2022 januari";1,989;2,123;1,992;1,951
"Benzine Euro95";"2022 februari";2,049;2,182;2,054;2,009
"Benzine Euro95";"2022 maart";2,29;2,421;2,296;2,25
"Benzine Euro95";"2022 april";2,088;2,223;2,094;2,048
"Benzine Euro95";"2022 mei";2,187;2,323;2,193;2,147
"Benzine Euro95";"2022 juni";2,353;2,49;2,358;2,312
"Benzine Euro95";"2022 juli";2,209;2,348;2,215;2,169
"Benzine Euro95";"2022 augustus";2,065;2,205;2,071;2,023
"Benzine Euro95";"2022 september";1,967;2,115;1,974;1,924
"Benzine Euro95";"2022 oktober";1,995;2,137;1,999;1,955
"Benzine Euro95";"2022 november";1,912;2,054;1,916;1,872
"Benzine Euro95";"2022 december";1,759;1,903;1,762;1,718
"Benzine Euro95";"2022";2,072;2,21;2,077;2,032
"Benzine Euro95";"2023 januari";1,824;1,974;1,828;1,786
"Benzine Euro95";"2023 februari";1,82;1,971;1,824;1,781
"Benzine Euro95";"2023 maart";1,812;1,966;1,817;1,772
"Benzine Euro95";"2023 april";1,855;2,009;1,859;1,816
"Benzine Euro95";"2023 mei";1,805;1,959;1,808;1,766
"Benzine Euro95";"2023 juni";1,822;1,981;1,825;1,783
"Benzine Euro95";"2023 juli";1,992;2,149;1,994;1,953
"Benzine Euro95";"2023 augustus";2,079;2,239;2,08;2,039
"Diesel";"2022 januari";1,666;1,798;1,678;1,626
"Diesel";"2022 februari";1,744;1,876;1,757;1,704
"Diesel";"2022 maart";2,118;2,249;2,132;2,077
"Diesel";"2022 april";2,002;2,13;2,015;1,963
"Diesel";"2022 mei";1,993;2,121;2,005;1,954
"Diesel";"2022 juni";2,143;2,276;2,155;2,104
"Diesel";"2022 juli";2,068;2,198;2,082;2,028
"Diesel";"2022 augustus";1,974;2,103;1,986;1,936
"Diesel";"2022 september";1,999;2,133;2,01;1,959
"Diesel";"2022 oktober";2,076;2,209;2,084;2,039
"Diesel";"2022 november";1,925;2,057;1,938;1,886
"Diesel";"2022 december";1,751;1,885;1,762;1,712
"Diesel";"2022";1,956;2,087;1,968;1,917
"Diesel";"2023 januari";1,784;1,928;1,796;1,749
"Diesel";"2023 februari";1,689;1,833;1,702;1,653
"Diesel";"2023 maart";1,632;1,777;1,643;1,596
"Diesel";"2023 april";1,587;1,731;1,599;1,551
"Diesel";"2023 mei";1,502;1,648;1,513;1,467
"Diesel";"2023 juni";1,52;1,668;1,529;1,485
"Diesel";"2023 juli";1,668;1,82;1,677;1,633
"Diesel";"2023 augustus";1,815;1,965;1,825;1,779
"Lpg";"2022 januari";0,911;0,944;0,902;
"Lpg";"2022 februari";0,918;0,952;0,908;
"Lpg";"2022 maart";1,089;1,132;1,078;
"Lpg";"2022 april";1,109;1,149;1,098;
"Lpg";"2022 mei";1,073;1,107;1,066;
"Lpg";"2022 juni";1,007;1,034;1,003;
"Lpg";"2022 juli";0,9;0,943;0,889;
"Lpg";"2022 augustus";0,849;0,888;0,839;
"Lpg";"2022 september";0,841;0,882;0,831;
"Lpg";"2022 oktober";0,834;0,877;0,821;
"Lpg";"2022 november";0,824;0,86;0,815;
"Lpg";"2022 december";0,796;0,833;0,787;
"Lpg";"2022";0,929;0,967;0,92;
"Lpg";"2023 januari";0,773;0,807;0,765;
"Lpg";"2023 februari";0,828;0,867;0,819;
"Lpg";"2023 maart";0,865;0,904;0,855;
"Lpg";"2023 april";0,815;0,845;0,808;
"Lpg";"2023 mei";0,764;0,792;0,757;
"Lpg";"2023 juni";0,731;0,752;0,727;
"Lpg";"2023 juli";0,731;0,756;0,728;
"Lpg";"2023 augustus";0,733;0,762;0,728;
